subjectName,OwnerGroup,LessonTitle,LessonAdminURL,Content Map Title,Resource Subject,Resource Level,CM EndDate,status
Science,Sec_Sci,Is It Physical or Chemical? [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5152c365-7211-41d7-b191-2bc22e11e1fa,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Sound [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/533c5203-ad1a-41ae-8efe-cb07f5fbc136,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Reactions of Acids [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5676fa5e-d28e-49ac-9b24-28b5444d101a,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Facilitated Reproduction [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5a01a0f8-24a0-4a3a-8d13-52f4290dc3ee,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Birth Control [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5b98700e-fc8e-4310-a4d1-9905bb4b4cee,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Sexually Transmitted Infections [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5c46fbb7-b43c-4aa9-86c8-62018c9cbef3,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Menstrual Cycle [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5ea4cf39-8c4e-41aa-95eb-f3a71eb84b30,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Reflection of Light [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6d9d63c4-7f9b-49dc-bf53-f159b43ae169,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,How Do We Classify Things?  [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/74862749-2d74-4d55-b626-36c76d9bde52,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Solubility and Dissolving [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/78b32260-0180-468d-a033-a53b33c50052,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
